Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Valdés-Sosa, Mitchell; Bobes, Maria A; Quiñones, Ileana; Garcia, Lorna; Valdes-Hernandez, Pedro A; Iturria, Yasser; Melie-Garcia, Lester; Lopera, Francisco; Asencio, José; ",Covert face recognition without the fusiform-temporal pathways,Neuroimage,57,3,1162-1176,2011,Elsevier
"Aguirre-Acevedo, DC; Gomez, RD; Moreno, S; Henao-Arboleda, E; Motta, M; Munoz, C; Arana, A; Pineda, DA; Lopera, F; ",[Validity and reliability of the CERAD-Col neuropsychological battery],Revista de neurologia,45,11,655-660,2006,
"Quiroz, Yakeel T; Stern, Chantal E; Reiman, Eric M; Brickhouse, Michael; Ruiz, Adriana; Sperling, Reisa A; Lopera, Francisco; Dickerson, Bradford C; ",Cortical atrophy in presymptomatic Alzheimer's disease presenilin 1 mutation carriers,"Journal of Neurology, Neurosurgery & Psychiatry",84,5,556-561,2013,BMJ Publishing Group Ltd
"Fleisher, Adam S; Chen, Kewei; Quiroz, Yakeel T; Jakimovich, Laura J; Gomez, Madelyn Gutierrez; Langois, Carolyn M; Langbaum, Jessica BS; Roontiva, Auttawut; Thiyyagura, Pradeep; Lee, Wendy; ",Associations between biomarkers and age in the presenilin 1 E280A autosomal dominant Alzheimer disease kindred: a cross-sectional study,JAMA neurology,72,3,316-324,2015,American Medical Association
"Quiroz, YT; Ally, BA; Celone, K; McKeever, J; Ruiz-Rizzo, AL; Lopera, F; Stern, CE; Budson, AE; ",Event-related potential markers of brain changes in preclinical familial Alzheimer disease,Neurology,77,5,469-475,2011,AAN Enterprises
"Lopera, Francisco; Ardila, Alfredo; ",Prosopamnesia and visuolimbic disconnection syndrome: A case study.,Neuropsychology,6,1,3,1992,Educational Publishing Foundation
"Méndez, Luis; Giraldo, Oscar; Aguirre-Acevedo, Daniel; Lopera, Francisco; ","Relación entre ansiedad, depresión, estrés y sobrecarga en cuidadores familiares de personas con demencia tipo Alzheimer por mutación e280a en presenilina 1",Rev. chil. neuropsicol.(En línea),5,2,137-145,2010,
"Pineda, David A; Aguirre, Daniel C; Garcia, Mauricio A; Lopera, Francisco J; Palacio, Luis G; Kamphaus, Randy W; ",Validation of two rating scales for attention-deficit hyperactivity disorder diagnosis in Colombian children,Pediatric neurology,33,1,15-25,2005,Elsevier
"Sepulveda-Falla, Diego; Barrera-Ocampo, Alvaro; Hagel, Christian; Korwitz, Anne; Vinueza-Veloz, Maria Fernanda; Zhou, Kuikui; Schonewille, Martijn; Zhou, Haibo; Velazquez-Perez, Luis; Rodriguez-Labrada, Roberto; ",Familial Alzheimer’s disease–associated presenilin-1 alters cerebellar activity and calcium homeostasis,The Journal of clinical investigation,124,4,1552-1567,2014,Am Soc Clin Investig
"Cornejo, William; Lopera, F; Uribe, C; Salinas, Miriam; ",Descripción de una familia con demencia presenil tipo Alzheimer,Acta Médica Colombiana,12,2,,1987,
